TC ID,Title,Section,Priority,Status,Screenshot,Notes
TC001,"TC001 - Verify Blog page loads successfully",Page Load,High,PASS,"TC001-final.png",""
TC002,"TC002 - Verify page title in browser tab",Page Load,Medium,PASS,"TC002-final.png",""
TC003,"TC003 - Verify breadcrumb navigation displays correctly",Navigation,Medium,PASS,"TC003-final.png",""
TC004,"TC004 - Verify breadcrumb Home link navigates to homepage",Navigation,High,PASS,"TC004-final.png",""
TC005,"TC005 - Verify top navigation Search link works",Navigation,High,PASS,"TC005-final.png",""
TC006,"TC006 - Verify top navigation About Us link works",Navigation,High,PASS,"TC006-final.png",""
TC007,"TC007 - Verify top navigation Log In link works",Navigation,High,PASS,"TC007-final.png",""
TC008,"TC008 - Verify top navigation Sign Up link works",Navigation,High,PASS,"TC008-final.png",""
TC009,"TC009 - Verify cart icon displays with correct item count",Cart,High,PASS,"TC009-final.png",""
TC010,"TC010 - Verify cart link navigates to cart page",Cart,High,PASS,"TC010-final.png",""
TC011,"TC011 - Verify Check Out button is visible and links correctly",Cart,High,PASS,"TC011-final.png",""
TC012,"TC012 - Verify Sauce Demo logo/title link navigates to homepage",Navigation,High,PASS,"TC012-final.png",""
TC013,"TC013 - Verify hamburger/Menu toggle is present on mobile",Navigation,Medium,PASS,"TC013-final.png",""
TC014,"TC014 - Verify side navigation Home link works",Navigation,High,PASS,"TC014-final.png",""
TC015,"TC015 - Verify side navigation Catalog link works",Navigation,High,PASS,"TC015-final.png",""
TC016,"TC016 - Verify side navigation Blog link works",Navigation,High,PASS,"TC016-final.png",""
TC017,"TC017 - Verify side navigation About Us link works",Navigation,High,PASS,"TC017-final.png",""
TC018,"TC018 - Verify side navigation Login link works",Navigation,High,PASS,"TC018-final.png",""
TC019,"TC019 - Verify side navigation Create Account link works",Navigation,High,PASS,"TC019-final.png",""
TC020,"TC020 - Verify blog post title is displayed",Blog Content,High,PASS,"TC020-final.png",""
TC021,"TC021 - Verify blog post author is displayed",Blog Content,Medium,PASS,"TC021-final.png",""
TC022,"TC022 - Verify blog post body text is displayed",Blog Content,Medium,PASS,"TC022-final.png",""
TC023,"TC023 - Verify blog post title links to the full post",Blog Content,High,PASS,"TC023-final.png",""
TC024,"TC024 - Verify Shopify ecommerce blog link in post body",Blog Content,Medium,PASS,"TC024-final.png",""
TC025,"TC025 - Verify Shopify hyperlink in post body",Blog Content,Medium,PASS,"TC025-final.png",""
TC026,"TC026 - Verify footer Search link works",Footer,Medium,PASS,"TC026-final.png",""
TC027,"TC027 - Verify footer About Us link works",Footer,Medium,PASS,"TC027-final.png",""
TC028,"TC028 - Verify footer About Us description text is present",Footer,Low,PASS,"TC028-final.png",""
TC029,"TC029 - Verify payment icons are displayed in footer",Footer,Low,PASS,"TC029-final.png",""
TC030,"TC030 - Verify copyright text is displayed in footer",Footer,Low,PASS,"TC030-final.png",""
TC031,"TC031 - Verify Wish List link is present in navigation",Navigation,Low,PASS,"TC031-final.png",""
TC032,"TC032 - Verify Refer a Friend link is present in navigation",Navigation,Low,PASS,"TC032-final.png",""
TC033,"TC033 - Verify page is responsive on tablet viewport",Responsive Design,Medium,PASS,"TC033-final.png",""
TC034,"TC034 - Verify page is responsive on mobile viewport",Responsive Design,Medium,PASS,"TC034-final.png",""
TC035,"TC035 - Verify page loads within acceptable time",Performance,High,PASS,"TC035-final.png",""
TC036,"TC036 - Verify page has no broken images",UI,Medium,PASS,"TC036-final.png",""
TC037,"TC037 - Verify page renders correctly in Chrome",Cross-Browser,High,PASS,"TC037-final.png",""
TC038,"TC038 - Verify page renders correctly in Firefox",Cross-Browser,High,SKIP,"TC038-final.png",""
TC039,"TC039 - Verify page renders correctly in Safari",Cross-Browser,Medium,SKIP,"TC039-final.png",""
TC040,"TC040 - Verify page uses HTTPS",Security,High,PASS,"TC040-final.png",""